local_timestamp,part_number,edge,distance_1_2_mm,distance_2_3_mm,distance_3_4_mm,distance_4_5_mm,distance_5_6_mm,distance_6_7_mm,distance_7_8_mm,plc_time_lb1_ms,plc_time_lb2_ms,plc_time_lb3_ms,plc_time_lb4_ms,plc_time_lb5_ms,plc_time_lb6_ms,plc_time_lb7_ms,plc_time_lb8_ms,speed_1_2_mm_per_sec,speed_2_3_mm_per_sec,speed_3_4_mm_per_sec,speed_4_5_mm_per_sec,speed_5_6_mm_per_sec,speed_6_7_mm_per_sec,speed_7_8_mm_per_sec,acceleration_after_lb2_mm_per_sec2,acceleration_after_lb3_mm_per_sec2,acceleration_after_lb4_mm_per_sec2,acceleration_after_lb5_mm_per_sec2,acceleration_after_lb6_mm_per_sec2,acceleration_after_lb7_mm_per_sec2,maximum_speed_change_percent,consistent,diagnosis
2026-08-18T15:28:29.917,1,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7406676,7406735,7406981,7407044,7407318,7407396,7407790,7407889,677.9661016949152,796.7479674796748,634.9206349206349,715.3284671532847,512.8205128205128,497.46192893401013,404.04040404040404,742.242748455902,-981.7080976058082,460.04492911799014,-1053.855667586331,-65.74791368960858,-356.86323153225925,28.3097854526426,True,
2026-08-18T15:29:51.463,2,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7488796,7488842,7489022,7489065,7489234,7489276,7489454,7489494,869.5652173913044,1088.888888888889,930.2325581395348,1159.7633136094676,952.3809523809524,1101.123595505618,1000.0,1820.065021393613,-1357.4000005205764,2032.7047939474114,-1856.0231573574672,1294.2529411913968,-900.3100533017778,20.141969831410826,True,
2026-08-18T15:30:06.590,3,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7503255,7503384,7503792,7503876,7504189,7504263,7504580,7504650,310.07751937984494,480.3921568627451,476.1904761904762,626.1980830670926,540.5405405405405,618.2965299684543,571.4285714285714,570.4599845359413,-17.030740511558395,700.7062272135125,-423.4744206315328,381.8073008608981,-236.27113019548167,35.453251067869004,True,
2026-08-18T15:33:41.731,1,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7718386,7718523,7718943,7719030,7719353,7719433,7719739,7719820,291.97080291970804,466.6666666666667,459.7701149425287,606.8111455108359,500.0,640.5228758169935,493.82716049382714,561.5713051703339,-27.072962641998778,664.5390157707914,-500.93121320412223,679.1082815460667,-705.1029237435407,37.43482794577685,True,
2026-08-18T15:33:44.170,2,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7720731,7720867,7721311,7721410,7721778,7721867,7722180,7722258,294.11764705882354,441.44144144144144,404.04040404040404,532.6086956521739,449.438202247191,626.1980830670926,512.8205128205128,459.17523690880876,-133.9910937490026,510.2685363863434,-346.0903603606908,805.6328033801461,-547.1998341839309,33.37334933973589,True,
2026-08-18T15:34:14.041,3,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7750635,7750773,7751260,7751362,7751732,7751809,7752067,7752129,289.8550724637681,402.4640657084189,392.15686274509807,529.7297297297297,519.4805194805194,759.6899224806201,645.1612903225806,330.3447506507383,-34.70474232403735,537.4007693281981,-45.56600186348349,1301.9863059273741,-681.7613889318368,31.61940100715611,True,
2026-08-18T15:34:20.169,4,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7752962,7753092,7753479,7753557,7753847,7753919,7754188,7758254,307.6923076923077,506.45994832041345,512.8205128205128,675.8620689655172,555.5555555555555,728.6245353159851,9.837678307919331,685.7081484732971,27.4711826982114,821.2061775290499,-627.7439023631678,941.7446532025136,-2249.1395489404454,98.64982884447434,False,LB 6-7 -> LB 7-8: speed change 98.6%
2026-08-18T15:34:31.230,5,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7768079,7768205,7768571,7768647,7768927,7768995,7769247,7769311,317.46031746031747,535.5191256830601,526.3157894736842,700.0,588.2352941176471,777.7777777777778,625.0,788.1342407217949,-41.408575097634404,902.5071599605618,-610.081520145446,1097.1080947426422,-908.1070830717725,40.71914480077745,True,
2026-08-18T15:34:34.294,6,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7771083,7771206,7771596,7771679,7771976,7772044,7772286,7772345,325.2032520325203,502.56410256410254,481.9277108433735,659.9326599326599,588.2352941176471,809.9173553719008,677.9661016949152,622.0911951420969,-86.08626570901501,861.2576151146675,-379.1964169496654,1313.3278020633015,-831.8986757848044,35.29118964659034,True,
2026-08-18T15:34:37.791,7,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7774669,7774807,7775194,7775271,7775539,7775599,7775813,7775866,289.8550724637681,506.45994832041345,519.4805194805194,731.3432835820895,666.6666666666666,915.8878504672897,754.7169811320755,730.8716788972016,56.603096894213856,1122.8940183088232,-383.1294660855433,1671.2123313099491,-1140.9018348494862,42.76841171251109,True,
2026-08-18T15:34:44.290,8,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7781072,7781209,7781628,7781712,7782010,7782077,7782331,7782397,291.97080291970804,467.78042959427205,476.1904761904762,657.7181208053692,597.0149253731344,771.6535433070866,606.060606060606,565.9812735331471,33.63914958945248,872.1854102594647,-322.73858185363116,1012.8066516105617,-966.6937825416638,37.58379264114404,True,
2026-08-18T15:34:46.792,9,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7783665,7783789,7784156,7784231,7784500,7784564,7784797,7784855,322.5806451612903,534.0599455040872,533.3333333333334,728.6245353159851,625.0,841.2017167381974,689.6551724137931,767.6345455896368,-3.2863599465426425,1044.2765636440283,-594.3589553577763,1343.2005434037735,-983.0342008736941,39.59842001316656,True,
2026-08-18T15:34:49.668,10,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7786616,7786740,7787101,7787173,7787429,7787488,7787702,7787755,322.5806451612903,542.9362880886426,555.5555555555555,765.625,677.9661016949152,915.8878504672897,754.7169811320755,808.142119876268,58.73797620834079,1176.015531001517,-536.2017185491521,1606.8327101109842,-1140.9018348494862,40.585911784068465,True,
2026-08-18T15:35:58.667,11,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7856021,7856103,7856349,7856399,7856574,7856613,7856756,7856791,487.8048780487805,796.7479674796748,800.0,1120.0,1025.6410256410256,1370.6293706293707,1142.857142857143,1681.583578961048,22.002865750029866,2603.3898305084745,-857.8834174662074,3502.904059974109,-2425.8577231028507,38.775510204081634,True,
2026-08-18T15:36:01.170,12,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7858506,7858593,7858843,7858893,7859067,7859107,7859249,7859284,459.7701149425287,784.0,800.0,1126.4367816091954,1000.0,1380.281690140845,1142.857142857143,1708.7603449395506,107.38983050847457,2664.660266788483,-1139.2365379749237,3835.4980683816434,-2538.3690472816775,41.35585268590195,True,
2026-08-18T15:36:27.795,13,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7884363,7884507,7884967,7885067,7885428,7885514,7885828,7885907,277.77777777777777,426.0869565217391,400.0,542.9362880886426,465.1162790697674,624.203821656051,506.32911392405066,442.32881648643183,-91.31395982185767,571.1009022181082,-332.4011011346092,734.3104148911583,-564.666268486885,34.807256235827666,True,
2026-08-18T15:36:30.918,14,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7887650,7887783,7888186,7888269,7888582,7888660,7888958,7889036,300.7518796992481,486.35235732009926,481.9277108433735,626.1980830670926,512.8205128205128,657.7181208053692,512.8205128205128,619.012382746553,-18.15380081391222,677.4140710091831,-547.1998341839309,718.679017229883,-718.679017229883,38.161730857756645,True,
2026-08-18T15:36:51.230,15,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7907532,7907681,7908156,7908259,7908667,7908775,7909216,7909333,268.4563758389262,412.63157894736844,388.3495145631068,480.3921568627451,370.3703703703704,444.44444444444446,341.88034188034186,416.0847212543541,-82.41302747117645,338.81897844847265,-396.6203946057412,255.74852944595563,-341.7317628530146,34.940419120668395,True,
2026-08-18T15:36:53.482,16,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7909863,7910043,7910611,7910720,7911103,7911190,7911523,7911609,222.22222222222223,345.07042253521126,366.9724770642202,511.7493472584856,459.7701149425287,588.5885885885886,465.1162790697674,295.30034092901064,66.08136616110328,539.0618453255784,-213.97811790347475,572.2371526374604,-551.285481190682,35.600907029478456,True,
2026-08-18T15:37:21.418,17,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7936474,7936688,7937756,7937958,7938660,7938809,7939397,7939562,186.9158878504673,183.52059925093633,198.01980198019803,279.2022792022792,268.4563758389262,333.3333333333333,242.42424242424244,-5.32940161654958,23.440811978195214,164.16131667572301,-24.936809250748627,165.43341263788264,-221.78643133958997,29.076581127500507,True,
2026-08-18T15:37:23.169,18,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7939081,7939269,7939883,7940022,7940542,7940670,7941172,7941309,212.7659574468085,319.21824104234526,287.76978417266184,376.9230769230769,312.5,390.43824701195217,291.97080291970804,239.96157951657509,-80.88490140418841,251.09981878974313,-188.1981182930498,232.1431132617211,-284.72489394994574,33.347807207989575,True,
2026-08-18T15:37:44.732,1,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7961039,7961253,7961871,7961982,7962367,7962456,7962792,7962878,186.9158878504673,317.15210355987057,360.36036036036035,509.09090909090907,449.438202247191,583.3333333333334,465.1162790697674,278.1691002606881,124.0429344347369,547.9405271184722,-242.28328847381894,585.9452548245375,-525.18908780539,41.064276177760824,True,
2026-08-18T15:37:48.669,2,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7964089,7964289,7964993,7965161,7965816,7965983,7966624,7966793,200.0,278.40909090909093,238.0952380952381,299.23664122137404,239.52095808383234,305.7722308892356,236.68639053254438,158.94755042723077,-88.22999786948448,139.20858070263225,-136.32321223750998,153.07782975247042,-158.7974988121012,28.163265306122454,True,
2026-08-18T15:37:54.606,3,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7970466,7970654,7971289,7971423,7971922,7972051,7972586,7972738,212.7659574468085,308.66141732283467,298.5074626865672,392.7855711422846,310.07751937984494,366.3551401869159,263.1578947368421,211.8750758283219,-26.12358162783389,276.1601678728746,-246.3238850542906,161.3051725280367,-275.27123380952514,31.068171949630923,True,
2026-08-18T15:38:19.919,1,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,7987965,7990739,7995612,7995776,7996387,7996532,7997564,7998059,14.419610670511895,40.22162938641494,243.90243902439025,320.7855973813421,275.86206896551727,189.92248062015503,80.8080808080808,5.97395889241092,245.21449276079778,183.96186324261907,-113.57423048037582,-169.61581546196035,-125.1720454280841,83.50913195156987,False,LB 1-2 -> LB 2-3: speed change 64.1%; LB 2-3 -> LB 3-4: speed change 83.5%; LB 6-7 -> LB 7-8: speed change 57.5%
